project,seed,profile,dose,latency,model,n_pos_noisy,n_pos_retained,mcc_avg,gmean_avg,mcc,gmean
commons-compress,13,symmetric,0.15,uniform,ORB,365,144,0.07137794539550127,0.5268257737395317,0.022449155632872475,0.531790091513078
commons-compress,13,symmetric,0.15,uniform,NA(damp),365,144,0.06140721042579733,0.5017334958383398,0.027963352911720765,0.5200580790911242
commons-compress,13,symmetric,0.15,uniform,NA(fp_filter),365,144,0.050760413770672926,0.4763448423797417,0.003447544967761299,0.4992044098914201
commons-compress,13,symmetric,0.15,none,OOB,365,144,0.09233444253484605,0.555323426132823,0.014887911467646956,0.5228951983245278
commons-compress,13,symmetric,0.15,none,ORB,365,144,0.09203869769650226,0.5494403186014368,0.02339098413455413,0.5263308043973788
commons-compress,13,symmetric,0.15,none,NA(damp),365,144,0.11414028184239244,0.5743795124817227,0.05459217305495288,0.57201558528693
commons-compress,13,symmetric,0.15,none,NA(fp_filter),365,144,0.12317402800552381,0.5560723234404693,0.2076444844713157,0.6572036808012224
commons-compress,13,symmetric,0.2,uniform,OOB,415,135,0.02666698131722239,0.4355539070720054,-0.1118808778592625,0.28315399200089447
commons-compress,13,symmetric,0.2,uniform,ORB,415,135,0.013933066806475861,0.4759526335007802,0.010820926077049422,0.5136144705945626
commons-compress,13,symmetric,0.2,uniform,NA(damp),415,135,0.06668801385275673,0.5140146163560876,-0.0307536987466775,0.3642559905658451
commons-compress,13,symmetric,0.2,uniform,NA(fp_filter),415,135,0.0037241679028146733,0.4471739267095616,-0.07372972640239257,0.3134305342237772
commons-compress,13,symmetric,0.2,none,OOB,415,135,0.09153026413645954,0.5562220395672981,0.11192804122900707,0.6532076376297291
commons-compress,13,symmetric,0.2,none,ORB,415,135,0.09884579644317952,0.5622196550808,0.12206612918681921,0.6796267988941639
commons-compress,13,symmetric,0.2,none,NA(damp),415,135,0.10554533406292516,0.5705889665794234,0.12626423583835478,0.6849157899793673
commons-compress,13,symmetric,0.2,none,NA(fp_filter),415,135,0.07883338620113062,0.4946872294014552,0.05696059912686133,0.5236407129378129
commons-compress,13,symmetric,0.25,uniform,OOB,469,122,0.020371112591970903,0.44134459839741785,-0.02291019725867226,0.46479992828990907
commons-compress,13,symmetric,0.25,uniform,ORB,469,122,0.002466947124450224,0.46859080355128196,-0.011525283580769907,0.48161438308110754
commons-compress,13,symmetric,0.25,uniform,NA(damp),469,122,0.04092050315977484,0.4890616569895781,-0.09225456326685087,0.32036265513574363
commons-compress,13,symmetric,0.25,uniform,NA(fp_filter),469,122,0.015776517442827726,0.45159262643537196,-0.0646311010328484,0.33184320410373647
commons-compress,13,symmetric,0.25,none,OOB,469,122,0.07649850928609328,0.5431443504959256,0.10097740830902426,0.633471675676804
commons-compress,13,symmetric,0.25,none,ORB,469,122,0.07532983617129647,0.5417906275144063,-0.08050366405479206,0.30739625771214035
commons-compress,13,symmetric,0.25,none,NA(damp),469,122,0.09148434806144518,0.5542387948380161,0.02424884819393472,0.5311708887727425
commons-compress,13,symmetric,0.25,none,NA(fp_filter),469,122,0.07941970485698921,0.5099093844006807,0.06350849726472312,0.5644631085369163
commons-compress,13,symmetric,0.3,uniform,OOB,543,116,0.02289811726531893,0.4427265880313285,-0.02567037200197967,0.46010008468929775
commons-compress,13,symmetric,0.3,uniform,ORB,543,116,-0.02635277808595628,0.40608156286574243,0.04981682757137055,0.5736692626060171
commons-compress,13,symmetric,0.3,uniform,NA(damp),543,116,0.03982498628067032,0.45435464744265924,0.1228003303289723,0.6772393905451476
commons-compress,13,symmetric,0.3,uniform,NA(fp_filter),543,116,-0.036448769797173555,0.3949179139791185,-0.06185177835768616,0.3321572870293415
commons-compress,13,symmetric,0.3,none,OOB,543,116,0.061420199721135965,0.5323440703489265,0.010694201625164209,0.5164160781106035
commons-compress,13,symmetric,0.3,none,ORB,543,116,0.03589544699545353,0.5057489446582837,-0.09887191513164088,0.27090586274909
commons-compress,13,symmetric,0.3,none,NA(damp),543,116,0.04346318224959041,0.5261659195101875,0.041597670280123816,0.561257351986878
commons-compress,13,symmetric,0.3,none,NA(fp_filter),543,116,0.045206609573551326,0.4718418138288198,-0.10103821579451588,0.16753811461877127
commons-compress,13,fp_heavy,0.05,uniform,OOB,255,166,0.10823938215398861,0.5097511440811867,0.10087032519001542,0.647885386123608
commons-compress,13,fp_heavy,0.05,uniform,ORB,255,166,0.019052963897672297,0.45343088056227365,0.055875345798718716,0.5761663667556928
commons-compress,13,fp_heavy,0.05,uniform,NA(damp),255,166,0.031842464509575424,0.45358253379695584,0.06023205850646608,0.5901247798356901
commons-compress,13,fp_heavy,0.05,uniform,NA(fp_filter),255,166,0.06199045669394841,0.4824614396251584,0.04109518634056041,0.4885090297477803
