project,seed,condition,n_fp_available,n_fn_available,n_labels_corrected,mcc_avg,gmean_avg,mcc,gmean
ant-ivy,42,fn_repair_frac_1.00,451,48,48,0.1404893468164393,0.5720024139355704,0.02239535577445835,0.5274888801256652
ant-ivy,42,fn_repair_immediate,451,48,48,0.1899789702446162,0.5670613426304496,0.06527814263024861,0.5713707959386748
ant-ivy,42,fn_repair_at_window,451,48,48,0.229137890815818,0.6225972141583846,0.19556833537255766,0.7218238062731805
ant-ivy,77,BSZZ,451,48,0,0.15676102994231786,0.5796825526226526,-0.0033220959610051853,0.495608497228713
ant-ivy,77,BSZZ_immediate,451,48,0,0.18063380373391213,0.5630763223605745,0.07763667225093142,0.5956009502380093
ant-ivy,77,BSZZ_at_window,451,48,0,0.21659183441545662,0.6155583509959383,0.18919219361870246,0.7230215289240546
ant-ivy,77,fp_repair_matched,451,48,48,0.16419675861662977,0.5885562075283263,0.014322398809371256,0.5178173863707565
ant-ivy,77,fp_repair_frac_0.25,451,48,113,0.14582108681941355,0.5743003013324576,-0.03375609477582932,0.4502052447191048
ant-ivy,77,fn_repair_frac_0.25,451,48,12,0.15941060852839467,0.5830436371685483,0.006715135288932066,0.5079999283629597
ant-ivy,77,fp_repair_frac_0.50,451,48,226,0.16215388616409868,0.5834960351411502,-0.05877479286954277,0.4100390502058051
ant-ivy,77,fn_repair_frac_0.50,451,48,24,0.13545108501270625,0.5675437592085051,-0.024809556631620877,0.4690535817264406
ant-ivy,77,fp_repair_frac_0.75,451,48,338,0.13385597118052303,0.5597800648744361,-0.04924023242014495,0.3776797500507017
ant-ivy,77,fn_repair_frac_0.75,451,48,36,0.1367806083550221,0.5666193947885003,0.008086975664757145,0.5098135553393658
ant-ivy,77,fp_repair_frac_1.00,451,48,451,0.19276919559987193,0.6062937906042342,-0.024608871940371285,0.4340960747854076
ant-ivy,77,fn_repair_frac_1.00,451,48,48,0.14294687999722172,0.5762415727243029,0.019349144870535448,0.5241073829843876
ant-ivy,77,fn_repair_immediate,451,48,48,0.1956526500643999,0.5676914359355214,0.07407778110402932,0.5811225220288695
ant-ivy,77,fn_repair_at_window,451,48,48,0.2522699607318807,0.6389052418534712,0.1800481160403204,0.7097141905484121
ant-ivy,101,BSZZ,451,48,0,0.154558523739131,0.5821646731807758,-0.011072141317866243,0.48557589796631817
ant-ivy,101,BSZZ_immediate,451,48,0,0.18682610328085789,0.5705385527231109,0.05641006667674816,0.5693384413031203
