project,seed,profile,dose,latency,n_pos_true,n_pos_noisy,n_pos_retained,mcc_avg,gmean_avg,mcc,gmean
ant-ivy,13,mid,0.15,real,332,412,238,0.07518459821533502,0.5269035811408366,-0.10131322149002385,0.3644028148100571
ant-ivy,13,mid,0.2,uniform,332,415,191,0.06061892295142252,0.5081588240379779,0.03850967240599851,0.5396261259222912
ant-ivy,13,mid,0.2,real,332,415,191,0.07007070185829334,0.5261958737274033,-0.12046077585580552,0.3424643439695904
ant-ivy,13,mid,0.25,uniform,332,419,153,0.03436231447173727,0.4882420153944069,-0.03835391238897626,0.3933080431950016
ant-ivy,13,mid,0.25,real,332,419,153,0.10796451020665702,0.5519400078290889,-0.06832669855421519,0.4114151863403118
ant-ivy,13,mid,0.3,uniform,332,430,111,0.01827524638294442,0.4769746874284763,0.03980581303213506,0.5071688963080806
ant-ivy,13,mid,0.3,real,332,430,111,0.030683330739018154,0.5052752793478552,-0.043755864461734795,0.44320442670808197
ant-ivy,13,fn_heavy,0.05,uniform,332,296,270,0.1871736347430381,0.5695557676357086,-0.04753657159759847,0.39627233332735756
ant-ivy,13,fn_heavy,0.05,real,332,296,270,0.11453674333760182,0.5561619473510926,-0.09083823721423331,0.3519135934140364
ant-ivy,13,fn_heavy,0.1,uniform,332,276,214,0.16159098411295245,0.567216204699129,0.07105756536841668,0.5816069196523765
ant-ivy,13,fn_heavy,0.1,real,332,276,214,0.09588050588221644,0.5525713974382067,0.08811719895332323,0.5950289936642797
ant-ivy,13,fn_heavy,0.15,uniform,332,232,146,0.12621287281798874,0.5225108499857655,0.002601550426102697,0.46340251109365826
ant-ivy,13,fn_heavy,0.15,real,332,232,146,0.07988946597626861,0.5327813831287909,-0.06379269929323254,0.39205784427403984
ant-ivy,13,fn_heavy,0.2,uniform,332,193,79,0.05557307651464576,0.48525091628678324,0.0362571444329067,0.4813063135812703
ant-ivy,13,fn_heavy,0.2,real,332,193,79,0.07779247640239419,0.5381694845127617,-0.057895018020297485,0.39483407698016093
ant-ivy,13,fn_heavy,0.25,uniform,332,154,8,-0.041092753144610104,0.4071260518437722,0.024649312963869265,0.5018928745048157
ant-ivy,13,fn_heavy,0.25,real,332,154,8,-0.008281415278793842,0.46746025978615724,-0.12110032872808306,0.34184408866506677
ant-ivy,13,fn_heavy,0.3,uniform,332,172,0,-0.02938973774366867,0.42294221957004524,0.07747896490298606,0.5809279673137715
ant-ivy,13,fn_heavy,0.3,real,332,172,0,-0.022181559923040665,0.4617716464399584,-0.08489421356778783,0.3573005507860601
ant-ivy,21,symmetric,0.05,uniform,332,404,314,0.12235739514857441,0.5423705592832901,0.0898189117671982,0.5949801002293787
ant-ivy,21,symmetric,0.05,real,332,404,314,0.12816685991468188,0.5654666783541524,-0.02335221548676433,0.46821128668958106
ant-ivy,21,symmetric,0.1,uniform,332,441,293,0.11971912375100276,0.5475349837157646,0.0833922911436578,0.5944639102259368
ant-ivy,21,symmetric,0.1,real,332,441,293,0.11825655554438964,0.5586737078461007,0.04571622982492773,0.5560055145865636
ant-ivy,21,symmetric,0.15,uniform,332,492,279,0.1312383706710499,0.5550077388107488,0.10046725580428968,0.6163692339105011
ant-ivy,21,symmetric,0.15,real,332,492,279,0.0958354581044692,0.5460212377862544,-0.07968983905581273,0.38737329839396717
ant-ivy,21,symmetric,0.2,uniform,332,543,266,0.12053972291567909,0.5515726287358343,0.1046384174833087,0.6188444923284481
ant-ivy,21,symmetric,0.2,real,332,543,266,0.052115921444050105,0.5174862640864525,-0.013979052432384976,0.4823648151390346
ant-ivy,21,symmetric,0.25,uniform,332,597,252,0.06920528058830784,0.5178687914496284,0.057346063484789586,0.5691315168661327
ant-ivy,21,symmetric,0.25,real,332,597,252,0.05559244505830239,0.519246287228465,-0.05399874284088922,0.43242378471564186
ant-ivy,21,symmetric,0.3,uniform,332,661,235,0.09064580686785141,0.5240526576056875,-0.0027872883037045036,0.4954071666156024
ant-ivy,21,symmetric,0.3,real,332,661,235,0.03403729740288222,0.4970364009499313,-0.014619764489788422,0.4762019532173415
ant-ivy,21,fp_heavy,0.05,uniform,332,396,310,0.17761139321427843,0.5891136473000729,0.11458413264342582,0.6305964145126751
ant-ivy,21,fp_heavy,0.05,real,332,396,310,0.12689810670863688,0.5637249458693606,-0.10071804032398125,0.34734539945320697
ant-ivy,21,fp_heavy,0.1,uniform,332,422,284,0.14166282348709744,0.5642699628508336,0.10228221347552079,0.622285489208385
ant-ivy,21,fp_heavy,0.1,real,332,422,284,0.12196981153352303,0.5574481848623916,0.020156984771571653,0.5233466692535031
