config,rule,eps,min_pos,rate_update,filter_rate_BSZZ,filter_rate_LSZZ,filter_rate_MASZZ,filter_rate_oracle,gain_BSZZ,gain_LSZZ,gain_MASZZ,gain_oracle,nd_pass
quantile/q=0.05|eps=0.1|minpos=30|observed,quantile/q=0.05,0.1,30.0,observed,0.09308992467043314,0.05204124579124579,0.08884626314293834,0.06210706504824152,0.01900382423681518,0.015981801622878725,0.00513482260936933,0.008391937782803977,True
quantile/q=0.05|eps=0.1|minpos=30|suppress,quantile/q=0.05,0.1,30.0,suppress,0.09416478342749529,0.05614478114478114,0.08527696292865353,0.05787426081543729,0.014998934042576961,0.016708527063801937,0.0036561185362669474,0.006218547990823137,True
quantile/q=0.05|eps=0.1|minpos=50|observed,quantile/q=0.05,0.1,50.0,observed,0.098590395480226,0.025505050505050506,0.04569718640242434,0.043253968253968246,0.009823681500379947,0.011405213094635033,0.004045066067642419,0.006771885196208041,True
quantile/q=0.05|eps=0.1|minpos=50|suppress,quantile/q=0.05,0.1,50.0,suppress,0.08439312617702449,0.024915824915824916,0.043061102869387705,0.0458994708994709,0.010957041068471618,0.012618465833579215,0.007263345054136436,0.0053586873253576445,True
quantile/q=0.1|eps=0.0|minpos=20|observed,quantile/q=0.1,0.0,20.0,observed,0.1454665725047081,0.08722643097643099,0.16662747186439716,0.08016863310980957,0.005376480295338673,0.011036668497824781,0.013832176900956075,0.010525586285028601,True
quantile/q=0.1|eps=0.0|minpos=20|suppress,quantile/q=0.1,0.0,20.0,suppress,0.14454472693032017,0.08352272727272728,0.1760020033727668,0.0777876807288572,0.006548749889371902,0.012726955946697788,0.014443793607549951,0.00963943115477646,True
quantile/q=0.1|eps=0.0|minpos=30|observed,quantile/q=0.1,0.0,30.0,observed,0.11784839924670433,0.05557659932659932,0.10705159617196187,0.06501711795829443,0.02465665864043419,0.014797254728391454,0.009136650010213701,0.007850945059377445,True
quantile/q=0.1|eps=0.0|minpos=30|suppress,quantile/q=0.1,0.0,30.0,suppress,0.11276082862523541,0.05991161616161616,0.11186222672720045,0.06263616557734204,0.021386644314246556,0.014961779754836244,0.010292967400998262,0.007053753988692499,True
quantile/q=0.1|eps=0.0|minpos=50|observed,quantile/q=0.1,0.0,50.0,observed,0.10607909604519775,0.03148148148148148,0.06194479313274247,0.048941798941798946,0.014018416056228292,0.009990552391273236,0.009784831223103946,0.008200530028821332,True
quantile/q=0.1|eps=0.0|minpos=50|suppress,quantile/q=0.1,0.0,50.0,suppress,0.10780838041431262,0.027356902356902357,0.06454030202746396,0.04775132275132275,0.014109024337969608,0.013199879099740852,0.011750927983797219,0.004588495924672975,True
quantile/q=0.1|eps=0.1|minpos=20|observed,quantile/q=0.1,0.1,20.0,observed,0.14555979284369114,0.08571127946127946,0.16987597884450292,0.07897815691933338,0.011901224967436216,0.01425778919597269,0.009980566145072964,0.011471284522580089,True
quantile/q=0.1|eps=0.1|minpos=20|suppress,quantile/q=0.1,0.1,20.0,suppress,0.13960216572504708,0.08204966329966329,0.1647488810275527,0.07633265427383075,0.008611177365634215,0.01318549972515587,0.01187554340232086,0.010050374336903284,True
quantile/q=0.1|eps=0.1|minpos=30|observed,quantile/q=0.1,0.1,30.0,observed,0.11820668549905838,0.05298821548821549,0.109729522300761,0.06382664176781823,0.023812917594469657,0.015351366286530166,0.00906012658123484,0.008402626507568248,True
quantile/q=0.1|eps=0.1|minpos=30|suppress,quantile/q=0.1,0.1,30.0,suppress,0.11047316384180791,0.05843855218855219,0.11354861013217338,0.06118113912231559,0.021868614619899987,0.013588093299059259,0.01034063278002445,0.007469006867691377,True
quantile/q=0.1|eps=0.1|minpos=50|observed,quantile/q=0.1,0.1,50.0,observed,0.10976224105461393,0.029292929292929294,0.06404833453789291,0.04814814814814815,0.012836322687960283,0.011262139643059138,0.008905606523112133,0.007021431047361318,True
quantile/q=0.1|eps=0.1|minpos=50|suppress,quantile/q=0.1,0.1,50.0,suppress,0.10765160075329568,0.028956228956228958,0.06383658564418578,0.05158730158730159,0.013113101349705475,0.012398991232329987,0.0153736396072785,0.005172048247553254,True
quantile/q=0.2|eps=0.0|minpos=20|observed,quantile/q=0.2,0.0,20.0,observed,0.20147222222222222,0.1115530303030303,0.2119828318561629,0.10910576351752822,0.015239685029137903,0.013127918563240942,0.021008717512843805,0.012254668348537237,True
