project,seed,model,train_label,eval_mode,regime,mcc,gmean
ant-ivy,101,ORB,BSZZ,self,prequential_latency,0.175281702758904,0.5943352720705758
ant-ivy,101,LApredict,AGSZZ,oracle,naive_kfold,0.3113410601187872,0.6890774509802461
ant-ivy,101,LApredict,AGSZZ,oracle,chronological,0.22023778428127458,0.6579456393361274
ant-ivy,101,JITLine,AGSZZ,oracle,naive_kfold,0.21478597590044515,0.6355997476338471
ant-ivy,101,JITLine,AGSZZ,oracle,chronological,0.1263258906639078,0.5923009201119459
ant-ivy,101,ORB,AGSZZ,oracle,prequential_latency,-0.044899003852521616,0.4169065212062128
ant-ivy,101,LApredict,AGSZZ,self,naive_kfold,0.4377573621797697,0.719161525826055
ant-ivy,101,LApredict,AGSZZ,self,chronological,0.43060380596191217,0.7243678494811923
ant-ivy,101,JITLine,AGSZZ,self,naive_kfold,0.5237238283429698,0.760819722900119
ant-ivy,101,JITLine,AGSZZ,self,chronological,0.4252881837822637,0.7187134749952758
ant-ivy,101,ORB,AGSZZ,self,prequential_latency,0.2336544719880414,0.6415950903030618
ant-ivy,101,LApredict,MASZZ,oracle,naive_kfold,0.3142347405429867,0.6907567260689852
ant-ivy,101,LApredict,MASZZ,oracle,chronological,0.22023778428127458,0.6579456393361274
ant-ivy,101,JITLine,MASZZ,oracle,naive_kfold,0.21099110410597371,0.6336802097828754
ant-ivy,101,JITLine,MASZZ,oracle,chronological,0.09547555464342236,0.5573018942432836
ant-ivy,101,ORB,MASZZ,oracle,prequential_latency,-0.05577199200481209,0.4056322369879116
ant-ivy,101,LApredict,MASZZ,self,naive_kfold,0.4264468090966262,0.7135007874047041
ant-ivy,101,LApredict,MASZZ,self,chronological,0.4170399320165703,0.7179246628310063
ant-ivy,101,JITLine,MASZZ,self,naive_kfold,0.5122492661121624,0.753767600791421
ant-ivy,101,JITLine,MASZZ,self,chronological,0.3911751938750663,0.6909701234617822
