project,train_label,seed,fading,warmup,mcc_avg,gmean_avg,mcc_terminal
ant-ivy,AGSZZ,7,0.999,0.0,0.09027216917979211,0.5446677167020689,0.13485043611518202
ant-ivy,AGSZZ,7,0.999,0.05,0.10023856346445878,0.5552420233544829,0.13485043611518202
ant-ivy,AGSZZ,7,0.999,0.1,0.11400222627062015,0.5637710441054937,0.13485043611518202
ant-ivy,AGSZZ,7,0.999,0.25,0.14094709273958417,0.5822972097928605,0.13485043611518202
ant-ivy,AGSZZ,13,0.9,0.0,0.08676749085796887,0.4844979230272749,-0.02995157121416983
ant-ivy,AGSZZ,13,0.9,0.05,0.09702672055542866,0.49428756938999757,-0.02995157121416983
ant-ivy,AGSZZ,13,0.9,0.1,0.1093592886877492,0.5001329890374303,-0.02995157121416983
ant-ivy,AGSZZ,13,0.9,0.25,0.12759536282193584,0.5160182054685614,-0.02995157121416983
ant-ivy,AGSZZ,13,0.95,0.0,0.08655070751456796,0.5082239812565003,-0.07170571985528235
ant-ivy,AGSZZ,13,0.95,0.05,0.09696995778909913,0.5180632822275512,-0.07170571985528235
ant-ivy,AGSZZ,13,0.95,0.1,0.11112001495955554,0.5248007925762759,-0.07170571985528235
ant-ivy,AGSZZ,13,0.95,0.25,0.1298390005674345,0.5390968549418022,-0.07170571985528235
ant-ivy,AGSZZ,13,0.99,0.0,0.08991392921000585,0.543385702425737,-0.05559455946173617
ant-ivy,AGSZZ,13,0.99,0.05,0.10034632509607594,0.5543938794610943,-0.05559455946173617
ant-ivy,AGSZZ,13,0.99,0.1,0.11580904926393538,0.5633574896526615,-0.05559455946173617
ant-ivy,AGSZZ,13,0.99,0.25,0.1420804655586293,0.5809126906182939,-0.05559455946173617
ant-ivy,AGSZZ,13,0.995,0.0,0.08729440224122591,0.5450447238535521,0.0069474949249463454
ant-ivy,AGSZZ,13,0.995,0.05,0.09759964673100968,0.5560879136857225,0.0069474949249463454
ant-ivy,AGSZZ,13,0.995,0.1,0.11268811837905571,0.5651925002235222,0.0069474949249463454
ant-ivy,AGSZZ,13,0.995,0.25,0.14249089879879667,0.5851719594346277,0.0069474949249463454
ant-ivy,AGSZZ,13,0.999,0.0,0.06360018403557584,0.5277993585529552,0.10703377553756224
ant-ivy,AGSZZ,13,0.999,0.05,0.0726854864087288,0.5379015390838471,0.10703377553756224
ant-ivy,AGSZZ,13,0.999,0.1,0.08611671426582138,0.5460386650196658,0.10703377553756224
ant-ivy,AGSZZ,13,0.999,0.25,0.1151979739458267,0.5650111066643915,0.10703377553756224
ant-ivy,AGSZZ,21,0.9,0.0,0.10551525887505142,0.4902211080319076,-0.02728384768165628
ant-ivy,AGSZZ,21,0.9,0.05,0.11652247414273971,0.50018719701561,-0.02728384768165628
